"When people yawn, you see that other people in the room yawn, too. Why is that?","When your body need more oxygen, you yawn.   When you yawn, you take more oxygen in the air.   If the density of the oxygen in the air becomes lower, other people (their bodies) can feel that and start to yawn to get more oxygen.  That's why yawns are contagious. Yawning is extremely contagious -- 55% of people who witness someone yawn will yawn within five minutes. If a visually impaired person hears a tape of someone yawning, he or she is likely to yawn as well. Face it, the likelihood of you making it to the end of this answer without looking like one of these gaping maws is unlikely.   Although the contagious nature of yawning is well established, we know less about why this is so. Researchers are currently giving the topic some serious attention. One theory suggests it's a holdover from a period in evolutionary history when yawning served to coordinate the social behavior of a group of animals. A recent study postulates that contagious yawning could be part of the neural network involved in empathy.     While the mystery of contagious yawning has yet to be solved, perhaps researchers are closing in on an answer. On the other hand, given the subject matter, we wouldn't blame them for falling asleep at the wheel. In the meantime, give the yawn challenge a try -- it's tougher than it looks.","EducationReference"
"What's the best way to heat up a cold hamburger (In & Out)?","If you must eat a heated In & Out hamburger then I suggest the follow:  First, scrape the ketchup, mayo and any other sauce that is on the hamburger and put it a side. Also take the vegetables out.  Second, pre-heat a steak pan; put the hamburger separate form the bun on the hot pan  Third, heat up both parts of the bun near the hamburger on the same hot pan (you can get some souce from the hamburger on it)  Fourth, you can either put back the original ketchup, mayo and the vegetables or, better yet, get new ones from what you have at home .  Bon Appetite","FoodDrink"
"We are considering renting a house in the Turks and Caicos... any recommendations of which islands might be best, and good places to rent from?","I like Providenciales best. Beautiful beaches are scattered on all sides of Providenciales, the most spectacular of which is a 12 mile stretch located on Grace Bay, which is protected by a healthy barrier reef. Provo has an 18 hole golf course, a casino, shopping centres, three marinas, a growing number of of bars and excellent restaurants. Provo is also a divers' and water lovers' paradise.","Travel"
"choosing between a double latte (or similar) and a 16oz cup of drip coffee, which would have more caffeine?","Based on this    http://coffeefaq.com/caffaq.html    I would say that a large coffe has about 80-135mg of caffeine, but a double latte (which has 2 espresso shots) has about 200mg+","FoodDrink"
"looking for something that can seat three kids, with seatbelts etc.","My 1973 convertable Cadilac El Camino had no problem holding 6 full-sized adults. [See the picture.]    It's a bit of a gas guzzler, though...","CarsTransportation"
"or even on some surfaces?","Optical mice use an LED and a camera to rapidly capture images of the surface beneath the mouse. The infomation from the camera is analyzed by a DSP (Digital Signal Processor) and used to detect imperfections in the underlying surface and determine motion. Some materials, such as glass, mirrors or other very shiny, uniform surfaces interfere with the ability of the DSP to accurately analyze the surface beneath the mouse.     Since glass is transparent and very uniform, the mouse is unable to pick up enough imperfections in the underlying surface to determine motion. Mirrored surfaces are also a problem, since they constantly reflect back the same image, causing the DSP not to recognize motion properly. When the system is unable to see surface changes associated with movement, the mouse will not work properly.","ComputersInternet"
"Why did the U.S Invade Iraq ?","A small group of politicians believed strongly that the fact that Saddam Hussien remained in power after the first Gulf War was a signal of weakness to the rest of the world, one that invited attacks and terrorism. Shortly after taking power with George Bush in 2000 and after the attack on 9/11, they were able to use the terrorist attacks to justify war with Iraq on this basis and exaggerated threats of the development of weapons of mass destruction. The military strength of the U.S. and the brutality of Saddam's regime led them to imagine that the military and political victory would be relatively easy.","NewsEvents"
"best finish for concrete surfaces","it depends what you're looking for, and what tolerance you have for cost.    simple plain finish (and similarly broom finish which is basically going over the wet concrete with a broom to make patterns) are very cheap but also have a basic look (cheap look).  high end finish is imprinted concrete, which can make it look like natual stone or bricks - very flexible. this tends to be MUCH more expensive.     another thing to consider is that concrete surfaces tend to crack, and this shows at different levels in different finishes. impronted and plain finish tends to show the cracks very prominently. other finishes like exposed aggregate (small pebbles on top of the concrete that are exposed and showing on top) tend to have cracks be less visible.    i attached an example of one company that provides different finishes. from my experience they are way overpriced so you want to shop around.","HomeGarden"
"long-distance trail throughout CA","i hear that the mojave road is amazing!  search for it online.","Sports"
"I heard that tras fat is bad for the body. Why is that? Where can we find it in our daily food?","Trans fats occur in manufactured foods during the process of partial hydrogenation, when hydrogen gas is bubbled through vegetable oil to increase shelf life and stabilize the original polyunsatured oil. The resulting fat is similar to saturated fat, which raises bad LDL cholesterol and can lead to clogged arteries and heart disease.     Until very recently, food labels were not required to list trans fats, and this health risk remained hidden to consumers. In early July, FDA regulations changed, and food labels will soon begin identifying trans fat content in processed foods.","Health"
