"When people yawn, you see that other people in the room yawn, too. Why is that?","When your body need more oxygen, you yawn.   When you yawn, you take more oxygen in the air.   If the density of the oxygen in the air becomes lower, other people (their bodies) can feel that and start to yawn to get more oxygen.  That's why yawns are contagious. Yawning is extremely contagious -- 55% of people who witness someone yawn will yawn within five minutes. If a visually impaired person hears a tape of someone yawning, he or she is likely to yawn as well. Face it, the likelihood of you making it to the end of this answer without looking like one of these gaping maws is unlikely.   Although the contagious nature of yawning is well established, we know less about why this is so. Researchers are currently giving the topic some serious attention. One theory suggests it's a holdover from a period in evolutionary history when yawning served to coordinate the social behavior of a group of animals. A recent study postulates that contagious yawning could be part of the neural network involved in empathy.     While the mystery of contagious yawning has yet to be solved, perhaps researchers are closing in on an answer. On the other hand, given the subject matter, we wouldn't blame them for falling asleep at the wheel. In the meantime, give the yawn challenge a try -- it's tougher than it looks."
"Can someone help me with understanding someone else's wisdom, please? <br><br> It is very easy in the world to live by the opinion of the world. It is very easy in solitude to be self-centered. But the finished man is he who in the midst of the crowd keeps with perfect sweetness the independence of solitude. ","That is kind of a tricky little quote. Sometimes placing it in context can help. This is a quote from Ralph Waldo Emerson's essay Self Reliance, which discourages basing one's opinions and actions on common opinion in favor of self-trust (see the full essay at http://www.emersoncentral.com/selfreliance.htm).     I think the point of this quote is that it's very desireable to have one's own original thoughts and opinions, and to live by them. It's easier to live by one's own convictions and not be persuaded by others when in isolation (that's the independence of solitude). However, not so special to isolate oneself from others in order to attain this ideal. Because it's difficult to live by one's own thoughts and opinions while being a part of society, it's something only a finished man can truly do. Also, in the essay, Emerson refers to being childlike - unselfish, non-judgmental, open-minded, uncynical, unhesitant - as something to admire. So I think that's where the seemingly misplaced perfect sweetness comes in. When a man can remain pure of heart while living in the harsh world and also keeping and living by his own ideals.     What do you think?"
"When I was a kid I remember seeing a book that was like an yearbook of all newspapers published by the Times during WW II. Each of the years is compiled into a different book. <br>It gave one a very uniqie perspecitev into the UK druing the war, and even had advertisements from thaat time. <br>Anybody out there know how to track such books?",There are several websites that you can find rare or out of print books. A couple would be alibris.com or abebooks.com. These sites list books by booksellers all over the country and some internationally.
Who can tell me how to get rid of a beehive with out getting stung?,Call an area apiarist. They should be able to help you and would most likely remove them at no charge in exchange for the hive. The bees have value and they now belong to you.
Which are the best K-12 public schools in the SF Bay area?,"it depends on what you're looking for.    Cupertino district has some of the best test scores, but the flavor of the classes and homework is very intense. creativity is not promoted, but instead repetitive training and exercises are encouraged. Some people find this stifling, but this district is VERY popular especially with people of asian origin.    Neighboring Saratoga has similar or better scores, but the corriculum encourages much more diversity and creativity.    Palo Alto has a mixture of very good and average schools, so it depends which ones you get in to. The flavor is generally similar to Saratoga, and maybe a tad less competitive.    Another district to consider is Los Altos, the main problem there is that the high school is not very good.    The attached URL will give you very good insight into the scores and quality of the schools as well as demographics, but unfortunately very little insight into the flavor of each."
and what does that word mean if it's not a common word.,The longest word without a vowel is Rhythm.    It is referenced on below web site where you can find more fun facts.
Where is the world smallest volcano,"Taal volcano in the Philippines is considered to be the world's smallest active volcano. Its caldera is ~400 meters tall. It's also considered one of the world's most active volcanos, as it has erupted over 20 times in the past 400 years."
What is the history behind it?,"here is what the Net has to offer:    http://signalfan.freeservers.com/history.html    As early as the mid-1800's, the railroads in both England and the United States were using lanterns, hung from crossbars, to give railroad men a signal visible by night as well as by day. For the control or direction of street traffic by colored lights however, England appears to have led the way. The worlds first traffic signal using colored lights was installed in December of 1868 at the intersection of George and Bridge Streets near the Houses of Parliament. It had been installed in response to a suggestion by a select committee that railway signal gear be adapted to street traffic. It's purpose was to give protection to members of Parliament and lesser street crossers at a point where vehicle traffic was very heavy.      The resulting signal was invented by J.P. Knight, a railroad signaling engineer. Shown here by a surviving drawing, it was to have been an imposing 22' high and crowned with a gas light. The semaphore arms, when extended horizontally, meant Stop. When lowered to a droopy 45° angle, meant Caution. At night, a green light and red light were used in conjunction with the arms.    Although it is entirely possible and probable that other attempts were made to control traffic by colored lights after this London experience, no recorded account has come down to us until the earlier part of the 20th century..    you can also refer to:   http://www.usc.edu/CSSF/History/2004/Projects/J0332.pdf#search='red%20is%20stop%20green%20is%20go%20history'"
"[colleges & univs] <br><br>Upto 1980s and early 90s, Big Ten conference had only 10 schools. But then somehow it was decided to add PSU as the 11th Big-Ten school. <br><br>Any thoughts/insight on why the name of the conference not changed?",i would think to keep the brand recognition and the history of the Big Ten. the conference has invested a lot in building the Big Ten name as well as any merchandising and corporate sponsorship.
How come fire trucks are red?,"Firetrucks are painted to be easily visible for safety reasons. Not all firetrucks are red and the decision on color is made at a local level. Many cities are beginning to use a bright yellow-lime color instead of red. Studies have shown that this is much more visible to a wide variety of people. Going to a fashionable, but not functional color like like black or gray would never happen for safety reasons."
I never took trig. Is it the level after calculus?,"In the US, Trig is normally considered as a high school level course, however, it is not a required course to graduate. I believe Algebra is the highest of the high school math courses that are required for graduation, although some schools may still only require Geometry.    In the US the typical sequence for math courses is Pre-Algebra, Geometry, Algebra, Trigonometry and then Calculus (which is usually taken at the high school level as Pre-Calculus, but may also be taken as full AP Calculus, where the AP stands for Advanced Placement and means that the student can get University-level credit for that course when they go to College)."
what's the origin of the notion of marriage as tying the knot?,Bed frames used to be sprung with rope. To make a marriage bed you needed to 'tie the knot'
